Cosmic Time [Gyr],SFR [Msun/yr],Metallicity
0.13150000,0.00000000,0.00000010
0.14350000,0.00000000,0.00000010
0.15550000,0.00000000,0.00000010
0.16750000,0.00000000,0.00000010
0.17950000,0.00000000,0.00000010
0.19150000,0.00000000,0.00000010
0.20350000,0.00000000,0.00000010
0.21550000,0.00000000,0.00000010
0.22750000,0.00000000,0.00000010
0.23950000,0.00000000,0.00000010
0.25150000,0.00000000,0.00000010
0.26350000,0.00000000,0.00000010
0.27550000,0.00000000,0.00000010
0.28750000,0.00000000,0.00000010
0.29950000,0.00000000,0.00000010
0.31150000,0.00000000,0.00000010
0.32350000,0.00000000,0.00000010
0.33550000,0.01002472,0.00000010
0.34750000,0.06550749,0.00000621
0.35950000,0.18127870,0.00004524
0.37150000,0.45497010,0.00007146
0.38350000,0.85543611,0.00011404
0.39550000,1.22496264,0.00017583
0.40750000,1.43298869,0.00024268
0.41950000,2.10766351,0.00032895
0.43150000,2.85430199,0.00037310
0.44350000,3.39898644,0.00043468
0.45550000,4.02719755,0.00047968
0.46750000,4.53041059,0.00052202
0.47950000,5.05223536,0.00054159
0.49150000,5.48434129,0.00055227
0.50350000,5.50566524,0.00054898
0.51550000,5.91402788,0.00054260
0.52750000,5.92339427,0.00055146
0.53950000,6.02652284,0.00056486
0.55150000,6.24147099,0.00056421
0.56350000,6.33400065,0.00056861
0.57550000,6.63896688,0.00060408
0.58750000,7.43457619,0.00062927
0.59950000,8.14375669,0.00068219
0.61150000,9.72626748,0.00075972
0.62350000,11.00394300,0.00082610
0.63550000,12.14070984,0.00093371
0.64750000,13.65584913,0.00104089
0.65950000,15.49143550,0.00119378
0.67150000,16.58918774,0.00128676
0.68350000,17.41722374,0.00141332
0.69550000,18.14662561,0.00151971
0.70750000,18.45353960,0.00164132
0.71950000,18.82319455,0.00182148
0.73150000,18.62217324,0.00196607
0.74350000,19.02827813,0.00206106
0.75550000,18.89243789,0.00222990
0.76750000,19.48637899,0.00234056
0.77950000,20.47020513,0.00246490
0.79150000,21.92008462,0.00258661
0.80350000,23.74428662,0.00267704
0.81550000,25.11739869,0.00274361
0.82750000,28.70076494,0.00279335
0.83950000,31.99937205,0.00290837
0.85150000,36.26783167,0.00307607
0.86350000,40.58476520,0.00323632
0.87550000,44.01082791,0.00346607
0.88750000,47.71702552,0.00377186
0.89950000,51.34768497,0.00410076
0.91150000,54.58182301,0.00450036
0.92350000,56.11737551,0.00492423
0.93550000,58.89631955,0.00534060
0.94750000,60.08364504,0.00592219
0.95950000,61.48603537,0.00642273
0.97150000,63.90200482,0.00699757
0.98350000,66.95901165,0.00743912
0.99550000,69.50497579,0.00776806
1.00750000,72.07836910,0.00814815
1.01950000,76.30887046,0.00842248
1.03150000,79.57691223,0.00864336
1.04350000,83.84354669,0.00883361
1.05550000,91.23271732,0.00895384
1.06750000,98.54539229,0.00908937
1.07950000,107.74312806,0.00926331
1.09150000,114.80643308,0.00946452
1.10350000,120.50267493,0.00973282
1.11550000,127.70127674,0.00991899
1.12750000,140.19437398,0.01025741
1.13950000,154.98157935,0.01071715
1.15150000,168.93105858,0.01128442
1.16350000,180.90689052,0.01179326
1.17550000,196.22540248,0.01238120
1.18750000,207.81521959,0.01296370
1.19950000,221.66830420,0.01361526
1.21150000,235.08012313,0.01425564
1.22350000,242.41470310,0.01501473
1.23550000,253.70995649,0.01584110
1.24750000,262.61293180,0.01664611
1.25950000,267.77500253,0.01755397
1.27150000,269.99476721,0.01825608
1.28350000,267.12476860,0.01891090
1.29550000,263.53502558,0.01928116
1.30750000,265.44005761,0.01944972
1.31950000,264.14394138,0.01951013
1.33150000,264.01034649,0.01944331
1.34350000,256.55379114,0.01936455
1.35550000,252.98049029,0.01912857
1.36750000,246.11165013,0.01885539
1.37950000,240.52716861,0.01862480
1.39150000,239.45897910,0.01848197
1.40350000,240.29841772,0.01833274
1.41550000,233.96034445,0.01840403
1.42750000,238.26505751,0.01855084
1.43950000,235.58348730,0.01861656
1.45150000,236.76142363,0.01868223
1.46350000,239.17883371,0.01872194
1.47550000,244.49764099,0.01880180
1.48750000,249.09347525,0.01878259
1.49950000,253.75129015,0.01877578
1.51150000,255.81226491,0.01878097
1.52350000,259.80420348,0.01879669
1.53550000,261.12687919,0.01900995
1.54750000,259.41040783,0.01921338
1.55950000,261.77144158,0.01942473
1.57150000,263.71367541,0.01965439
1.58350000,261.24142317,0.01991963
1.59550000,261.07277236,0.02015456
1.60750000,255.63697944,0.02054594
1.61950000,250.92939429,0.02086480
1.63150000,248.77092927,0.02107806
1.64350000,246.37944682,0.02151132
1.65550000,246.25553473,0.02184097
1.66750000,242.31278011,0.02219867
1.67950000,233.48994347,0.02250077
1.69150000,231.33960016,0.02279813
1.70350000,233.72427606,0.02304332
1.71550000,237.70294733,0.02316701
1.72750000,241.07538168,0.02359330
1.73950000,245.67405026,0.02379514
1.75150000,249.80819740,0.02379810
1.76350000,251.92279085,0.02376731
1.77550000,253.74696332,0.02361190
1.78750000,255.58348558,0.02350216
1.79950000,257.18509075,0.02341811
1.81150000,254.10026974,0.02335310
1.82350000,249.32530207,0.02344199
1.83550000,246.54381906,0.02346923
1.84750000,237.73585872,0.02329197
1.85950000,227.59849044,0.02340484
1.87150000,224.43433550,0.02351435
1.88350000,227.35869995,0.02384472
1.89550000,226.69574924,0.02406939
1.90750000,230.28598875,0.02450563
1.91950000,233.09320028,0.02494526
1.93150000,236.94879544,0.02531130
1.94350000,237.52067338,0.02554454
1.95550000,237.81250164,0.02574481
1.96750000,242.18693403,0.02605100
1.97950000,240.54621930,0.02639857
1.99150000,241.82621039,0.02660559
2.00350000,240.55064817,0.02699666
2.01550000,234.41791691,0.02726677
2.02750000,229.51940005,0.02754274
2.03950000,215.78351172,0.02786936
2.05150000,210.77099585,0.02829643
2.06350000,209.88378226,0.02849117
2.07550000,203.49819651,0.02882204
2.08750000,199.99843547,0.02882138
2.09950000,194.99780552,0.02897571
2.11150000,192.98272391,0.02908806
2.12350000,189.90366399,0.02930728
2.13550000,185.39150576,0.02935578
2.14750000,184.09449350,0.02945646
2.15950000,187.20309754,0.02962025
2.17150000,185.62899335,0.02960837
2.18350000,187.46242004,0.02971439
2.19550000,188.14909048,0.02980431
2.20750000,186.49304548,0.02998385
2.21950000,187.47452522,0.03027982
2.23150000,189.17438713,0.03041963
2.24350000,191.71168833,0.03035699
2.25550000,193.27610343,0.03044598
2.26750000,190.38046258,0.03054984
2.27950000,193.20867869,0.03053260
2.29150000,194.46823162,0.03055668
2.30350000,196.39468903,0.03065414
2.31550000,192.34583894,0.03055891
2.32750000,186.58274398,0.03050586
2.33950000,186.80373597,0.03048977
2.35150000,183.03935645,0.03037971
2.36350000,182.48640909,0.03041520
2.37550000,181.52868782,0.03038292
2.38750000,181.17744169,0.03037653
2.39950000,180.71073285,0.03036496
2.41150000,181.75713343,0.03023847
2.42350000,179.61344181,0.03029237
2.43550000,178.89741343,0.03056394
2.44750000,178.22278664,0.03080020
2.45950000,174.29743326,0.03131717
2.47150000,176.86255066,0.03163941
2.48350000,171.86665122,0.03183021
2.49550000,172.84553297,0.03187189
2.50750000,168.46193332,0.03156938
2.51950000,170.03609142,0.03166574
2.53150000,173.09317667,0.03135230
2.54350000,171.12701453,0.03105172
2.55550000,171.80207156,0.03091828
2.56750000,169.21477354,0.03074162
2.57950000,167.99224413,0.03037171
2.59150000,166.82161320,0.03023508
2.60350000,164.98532553,0.03026824
2.61550000,161.63855780,0.03019585
2.62750000,160.98301849,0.03030505
2.63950000,159.00734750,0.03059971
2.65150000,159.13620931,0.03112154
2.66350000,157.53172152,0.03108949
2.67550000,157.02689325,0.03104286
2.68750000,160.79646078,0.03088829
2.69950000,162.09668919,0.03064293
2.71150000,167.70866696,0.03042403
2.72350000,173.32290459,0.02996846
2.73550000,182.19534733,0.02969917
2.74750000,192.65771305,0.02960112
2.75950000,198.32157192,0.02965254
2.77150000,207.32574854,0.02970735
2.78350000,213.51928424,0.02985038
2.79550000,217.29808876,0.03026288
2.80750000,218.74051176,0.03059652
2.81950000,216.70600772,0.03106706
2.83150000,212.13921242,0.03173504
2.84350000,205.82889871,0.03208945
2.85550000,197.75506414,0.03254660
2.86750000,184.93468725,0.03278522
2.87950000,171.82798433,0.03312562
2.89150000,160.48865190,0.03303060
2.90350000,149.69410988,0.03278902
2.91550000,141.64304019,0.03250806
2.92750000,133.86685205,0.03212292
2.93950000,126.57269111,0.03157319
2.95150000,120.26017586,0.03111399
2.96350000,118.02145109,0.03079861
