Cosmic Time [Gyr],SFR [Msun/yr],Metallicity
0.13150000,0.00000000,0.00000010
0.14350000,0.00000000,0.00000010
0.15550000,0.00000000,0.00000010
0.16750000,0.00000000,0.00000010
0.17950000,0.00000000,0.00000010
0.19150000,0.00000000,0.00000010
0.20350000,0.00000000,0.00000010
0.21550000,0.00000000,0.00000010
0.22750000,0.00000000,0.00000010
0.23950000,0.00000000,0.00000010
0.25150000,0.00000000,0.00000010
0.26350000,0.00000000,0.00000010
0.27550000,0.00000000,0.00000010
0.28750000,0.00000000,0.00000010
0.29950000,0.00000000,0.00000010
0.31150000,0.00000000,0.00000010
0.32350000,0.00000000,0.00000010
0.33550000,0.00000000,0.00000010
0.34750000,0.05199169,0.00000010
0.35950000,0.10173627,0.00000010
0.37150000,0.32647254,0.00000010
0.38350000,0.58314808,0.00001274
0.39550000,0.97788851,0.00012219
0.40750000,1.28618887,0.00023023
0.41950000,1.84092039,0.00034844
0.43150000,2.49086578,0.00046404
0.44350000,3.39210701,0.00060574
0.45550000,4.00432495,0.00072560
0.46750000,5.21750162,0.00083686
0.47950000,6.44555889,0.00092068
0.49150000,7.41049274,0.00101281
0.50350000,8.12121192,0.00108292
0.51550000,8.80183593,0.00115897
0.52750000,9.29637329,0.00121500
0.53950000,9.99650002,0.00129166
0.55150000,10.14429718,0.00134723
0.56350000,10.57922320,0.00136178
0.57550000,10.56835841,0.00142629
0.58750000,11.36603685,0.00147917
0.59950000,12.58033764,0.00156269
0.61150000,13.93280037,0.00163230
0.62350000,15.49001035,0.00168939
0.63550000,16.83399153,0.00182492
0.64750000,19.05541990,0.00194441
0.65950000,21.96497431,0.00207944
0.67150000,24.32469052,0.00219318
0.68350000,26.89741745,0.00242545
0.69550000,29.04947405,0.00270964
0.70750000,31.56368735,0.00302957
0.71950000,33.92769521,0.00334232
0.73150000,36.38965860,0.00364961
0.74350000,38.58334457,0.00399695
0.75550000,40.85393502,0.00432512
0.76750000,43.54627950,0.00467224
0.77950000,46.50985193,0.00506989
0.79150000,49.19135684,0.00536570
0.80350000,51.27320186,0.00564990
0.81550000,54.60981878,0.00587000
0.82750000,59.04802543,0.00599375
0.83950000,62.47522978,0.00619465
0.85150000,65.54261329,0.00640779
0.86350000,69.64695020,0.00645687
0.87550000,73.11197062,0.00659964
0.88750000,74.70467329,0.00665560
0.89950000,77.65222805,0.00671133
0.91150000,80.69887385,0.00680969
0.92350000,79.88459419,0.00699052
0.93550000,83.18435209,0.00719283
0.94750000,86.55253315,0.00739369
0.95950000,90.46439933,0.00760407
0.97150000,94.12867604,0.00783580
0.98350000,99.87232040,0.00799133
0.99550000,115.44685367,0.00818730
1.00750000,141.05703190,0.00852837
1.01950000,170.64384055,0.00921036
1.03150000,199.83813128,0.01017363
1.04350000,230.67251370,0.01171894
1.05550000,259.07228512,0.01323807
1.06750000,278.70643261,0.01466418
1.07950000,292.92291505,0.01584216
1.09150000,299.69011198,0.01685216
1.10350000,298.22117614,0.01773656
1.11550000,290.33826437,0.01824283
1.12750000,280.68397915,0.01850529
1.13950000,264.33893742,0.01842874
1.15150000,242.85250499,0.01805930
1.16350000,218.35027311,0.01746533
1.17550000,202.52386463,0.01659492
1.18750000,194.69342124,0.01584855
1.19950000,196.06217070,0.01525758
1.21150000,199.63070720,0.01505704
1.22350000,201.98218212,0.01516443
1.23550000,213.89923697,0.01579641
1.24750000,222.26440907,0.01623372
1.25950000,229.93461293,0.01661689
1.27150000,236.43672271,0.01713663
1.28350000,240.46277320,0.01770977
1.29550000,246.67610033,0.01827911
1.30750000,252.55843768,0.01878832
1.31950000,254.69675727,0.01929918
1.33150000,259.18697886,0.01967365
1.34350000,256.68041690,0.02001397
1.35550000,255.06474219,0.02003515
1.36750000,251.92088504,0.01992378
1.37950000,250.73627002,0.01979631
1.39150000,253.94701467,0.01955452
1.40350000,257.25398787,0.01935598
1.41550000,259.84079602,0.01926976
1.42750000,273.77216001,0.01939337
1.43950000,278.94545874,0.01955741
1.45150000,286.18974821,0.01973329
1.46350000,291.17507381,0.02018493
1.47550000,295.76869857,0.02040977
1.48750000,296.95592470,0.02095590
1.49950000,294.07897589,0.02146041
1.51150000,286.11132313,0.02206429
1.52350000,279.75445088,0.02256157
1.53550000,264.87341564,0.02301405
1.54750000,245.06708412,0.02353193
1.55950000,230.44472721,0.02389238
1.57150000,216.51805664,0.02404184
1.58350000,200.57668823,0.02420330
1.59550000,188.76691098,0.02418421
1.60750000,177.89112960,0.02416636
1.61950000,168.90162553,0.02407841
1.63150000,165.01569731,0.02396253
1.64350000,159.84335626,0.02366928
1.65550000,157.59206002,0.02322153
1.66750000,152.86722124,0.02263443
1.67950000,145.49900091,0.02224374
1.69150000,142.82744714,0.02170016
1.70350000,143.19814333,0.02094232
1.71550000,145.01412032,0.02029282
1.72750000,144.63288266,0.02009726
1.73950000,147.73455115,0.01984534
1.75150000,151.52440016,0.01941350
1.76350000,153.71431169,0.01927630
1.77550000,156.33915048,0.01914098
1.78750000,156.67837845,0.01907411
1.79950000,158.53230370,0.01905667
1.81150000,157.88915624,0.01916211
1.82350000,158.36315958,0.01942424
1.83550000,159.02816746,0.01930626
1.84750000,158.05096880,0.01929374
1.85950000,156.24978110,0.01942752
1.87150000,161.14785036,0.01956903
1.88350000,168.68551869,0.01945040
1.89550000,172.67890089,0.01924418
1.90750000,179.91556257,0.01940825
1.91950000,184.97746965,0.01937584
1.93150000,192.38519950,0.01943481
1.94350000,195.91636067,0.01960243
1.95550000,198.94534699,0.01961183
1.96750000,205.06222582,0.01942321
1.97950000,203.94333305,0.01944256
1.99150000,206.23664602,0.01938012
2.00350000,206.25516876,0.01931192
2.01550000,201.15016675,0.01948794
2.02750000,197.88001729,0.01964437
2.03950000,185.97693014,0.02001160
2.05150000,182.76447438,0.02028928
2.06350000,183.61836560,0.02072189
2.07550000,180.65245360,0.02085363
2.08750000,178.05696028,0.02096975
2.09950000,172.33476421,0.02136144
2.11150000,173.72765031,0.02146904
2.12350000,173.89869733,0.02182501
2.13550000,173.08652741,0.02168624
2.14750000,177.58522662,0.02167861
2.15950000,185.94306800,0.02178364
2.17150000,190.52561661,0.02176147
2.18350000,194.00685162,0.02155147
2.19550000,198.78033981,0.02155692
2.20750000,197.77688191,0.02168035
2.21950000,199.72331874,0.02173176
2.23150000,205.56913742,0.02178109
2.24350000,213.25150643,0.02182039
2.25550000,218.90877070,0.02177527
2.26750000,218.63249808,0.02169409
2.27950000,224.18817567,0.02154188
2.29150000,226.65264111,0.02156244
2.30350000,234.29320683,0.02139893
2.31550000,234.87294955,0.02140126
2.32750000,236.76786896,0.02138988
2.33950000,241.72720589,0.02157206
2.35150000,243.94111269,0.02181695
2.36350000,247.16657347,0.02180502
2.37550000,248.61087247,0.02206822
2.38750000,253.57262587,0.02242651
2.39950000,255.77369805,0.02279342
2.41150000,262.20885408,0.02313346
2.42350000,263.32348228,0.02386640
2.43550000,264.47474225,0.02442179
2.44750000,264.90216421,0.02467346
2.45950000,262.62186076,0.02507887
2.47150000,269.16165652,0.02544253
2.48350000,265.97136133,0.02584945
2.49550000,272.01530328,0.02602064
2.50750000,270.48724826,0.02619075
2.51950000,273.11865558,0.02654847
2.53150000,275.51890085,0.02673364
2.54350000,271.71212394,0.02696151
2.55550000,269.10216884,0.02723647
2.56750000,263.86150663,0.02756559
2.57950000,265.73798245,0.02779318
2.59150000,265.61332625,0.02804959
2.60350000,263.28037142,0.02828174
2.61550000,261.01776482,0.02839814
2.62750000,262.04906508,0.02859502
2.63950000,262.97312096,0.02883472
2.65150000,265.79112780,0.02901959
2.66350000,268.66251945,0.02927193
2.67550000,271.72806783,0.02951743
2.68750000,276.56257273,0.02966124
2.69950000,274.31740720,0.02999119
2.71150000,270.87259426,0.03034536
2.72350000,268.39386921,0.03050985
2.73550000,269.52007407,0.03069547
2.74750000,278.99503961,0.03089357
2.75950000,283.90545927,0.03117595
2.77150000,300.16890995,0.03168890
2.78350000,308.27417681,0.03186164
2.79550000,317.75680041,0.03245970
2.80750000,324.00631259,0.03311282
2.81950000,326.51183755,0.03388027
2.83150000,323.28820570,0.03443440
2.84350000,316.10262038,0.03506131
2.85550000,307.04976550,0.03559443
2.86750000,289.98804015,0.03595109
2.87950000,269.06124495,0.03641078
2.89150000,251.35793790,0.03676494
2.90350000,231.42828997,0.03690088
2.91550000,220.15606646,0.03686181
2.92750000,211.88051644,0.03662513
2.93950000,207.67824851,0.03630302
2.95150000,202.58143554,0.03591693
2.96350000,206.16023855,0.03567186
