Cosmic Time [Gyr],SFR [Msun/yr],Metallicity
0.13150000,0.00000000,0.00000010
0.14350000,0.00000000,0.00000010
0.15550000,0.00000000,0.00000010
0.16750000,0.00000000,0.00000010
0.17950000,0.00000000,0.00000010
0.19150000,0.00000000,0.00000010
0.20350000,0.00000000,0.00000010
0.21550000,0.00000000,0.00000010
0.22750000,0.00000000,0.00000010
0.23950000,0.00000000,0.00000010
0.25150000,0.00000000,0.00000010
0.26350000,0.00000000,0.00000010
0.27550000,0.00000000,0.00000010
0.28750000,0.00000000,0.00000010
0.29950000,0.00000000,0.00000010
0.31150000,0.00000000,0.00000010
0.32350000,0.00000000,0.00000794
0.33550000,0.00000000,0.00000850
0.34750000,0.03925691,0.00001963
0.35950000,0.01118543,0.00000894
0.37150000,0.07536574,0.00002676
0.38350000,0.10359407,0.00003390
0.39550000,0.24271405,0.00004594
0.40750000,0.19227628,0.00008455
0.41950000,0.61304497,0.00012670
0.43150000,0.95540669,0.00018041
0.44350000,1.35202045,0.00025190
0.45550000,1.72360378,0.00033030
0.46750000,2.16215451,0.00039336
0.47950000,2.76479412,0.00046327
0.49150000,3.13141096,0.00049416
0.50350000,3.63093524,0.00053211
0.51550000,4.01256337,0.00054620
0.52750000,4.28192634,0.00056997
0.53950000,4.66496725,0.00058050
0.55150000,4.92108807,0.00058486
0.56350000,5.00922451,0.00059413
0.57550000,5.01865281,0.00056273
0.58750000,5.40205799,0.00058164
0.59950000,5.92079820,0.00059424
0.61150000,6.81665957,0.00064284
0.62350000,7.39495126,0.00070184
0.63550000,7.90227449,0.00088421
0.64750000,8.70284128,0.00096233
0.65950000,9.97676347,0.00104181
0.67150000,11.08300280,0.00121181
0.68350000,11.92158525,0.00134017
0.69550000,12.65509986,0.00151959
0.70750000,13.12774748,0.00182607
0.71950000,14.02252490,0.00212461
0.73150000,15.05840203,0.00235869
0.74350000,15.82100263,0.00263913
0.75550000,16.64554138,0.00285606
0.76750000,17.32684436,0.00309939
0.77950000,18.18341074,0.00343499
0.79150000,18.88855824,0.00360348
0.80350000,19.26584431,0.00377711
0.81550000,18.96210075,0.00386871
0.82750000,19.47437886,0.00404503
0.83950000,19.57230154,0.00410579
0.85150000,19.69930662,0.00430829
0.86350000,19.44830604,0.00443617
0.87550000,19.05999951,0.00457933
0.88750000,19.04258112,0.00476231
0.89950000,19.37929930,0.00491034
0.91150000,20.15122863,0.00504765
0.92350000,20.23092077,0.00519556
0.93550000,21.76572506,0.00531816
0.94750000,22.75945514,0.00546798
0.95950000,23.68012104,0.00553635
0.97150000,25.50951313,0.00550980
0.98350000,27.52859195,0.00543302
0.99550000,29.80054083,0.00533729
1.00750000,32.33915449,0.00532761
1.01950000,35.83435450,0.00530312
1.03150000,39.71189727,0.00521781
1.04350000,43.08906443,0.00518220
1.05550000,48.71549876,0.00508387
1.06750000,53.24946495,0.00508677
1.07950000,59.39172766,0.00510382
1.09150000,65.18766917,0.00525863
1.10350000,70.79644346,0.00555637
1.11550000,76.50521780,0.00586012
1.12750000,82.30316008,0.00619761
1.13950000,87.32505493,0.00645543
1.15150000,91.51321158,0.00677318
1.16350000,95.49956396,0.00709108
1.17550000,99.90909621,0.00743500
1.18750000,104.63879083,0.00773285
1.19950000,111.12718610,0.00805938
1.21150000,116.85446410,0.00834174
1.22350000,121.38137648,0.00858283
1.23550000,125.03701043,0.00893159
1.24750000,129.85778586,0.00927088
1.25950000,134.48300527,0.00973999
1.27150000,139.79972821,0.01017923
1.28350000,142.87313928,0.01065737
1.29550000,146.99269651,0.01119866
1.30750000,152.86846126,0.01178524
1.31950000,157.11624750,0.01243589
1.33150000,160.37428369,0.01286056
1.34350000,160.36523770,0.01311689
1.35550000,162.09383915,0.01326873
1.36750000,160.76540006,0.01329869
1.37950000,159.40809264,0.01315165
1.39150000,159.59913999,0.01288840
1.40350000,157.98331021,0.01249079
1.41550000,152.97965961,0.01210877
1.42750000,152.75103208,0.01172588
1.43950000,151.97075482,0.01141904
1.45150000,154.40485013,0.01112901
1.46350000,159.79522720,0.01108604
1.47550000,168.84667933,0.01117218
1.48750000,177.37229269,0.01157776
1.49950000,188.67084566,0.01216893
1.51150000,195.84964861,0.01279112
1.52350000,202.89765013,0.01337023
1.53550000,207.26825232,0.01401691
1.54750000,208.39041102,0.01479439
1.55950000,211.65841991,0.01546507
1.57150000,212.03533796,0.01597686
1.58350000,208.22944360,0.01646945
1.59550000,204.49345484,0.01696796
1.60750000,199.11290719,0.01738776
1.61950000,192.93176859,0.01765206
1.63150000,188.78327750,0.01778619
1.64350000,184.22650281,0.01774553
1.65550000,179.86893186,0.01759670
1.66750000,173.94755216,0.01725928
1.67950000,163.54596102,0.01680898
1.69150000,157.40878741,0.01613466
1.70350000,153.27391374,0.01544700
1.71550000,149.69139761,0.01482415
1.72750000,141.95136347,0.01430398
1.73950000,138.10998367,0.01384399
1.75150000,135.05695132,0.01341585
1.76350000,131.91451167,0.01323053
1.77550000,129.16793602,0.01300141
1.78750000,126.29581543,0.01291822
1.79950000,125.58062295,0.01289692
1.81150000,121.17653219,0.01268952
1.82350000,117.11928597,0.01254632
1.83550000,116.00282229,0.01227775
1.84750000,115.58064208,0.01208820
1.85950000,116.08711417,0.01180882
1.87150000,118.82530602,0.01142745
1.88350000,125.21768904,0.01118848
1.89550000,128.19573791,0.01103316
1.90750000,131.12065822,0.01091808
1.91950000,134.24874482,0.01080782
1.93150000,138.74696039,0.01083178
1.94350000,140.75824229,0.01085895
1.95550000,142.81099837,0.01095234
1.96750000,146.89399431,0.01101147
1.97950000,146.04100009,0.01115319
1.99150000,148.93666291,0.01121813
2.00350000,152.58493738,0.01123235
2.01550000,154.30488348,0.01138047
2.02750000,157.42498028,0.01156272
2.03950000,156.30294705,0.01191199
2.05150000,164.76820139,0.01210297
2.06350000,171.72313860,0.01230991
2.07550000,175.78162725,0.01259821
2.08750000,179.12284068,0.01287842
2.09950000,181.47707841,0.01319443
2.11150000,191.53646438,0.01361636
2.12350000,199.03210802,0.01412080
2.13550000,204.33556435,0.01454115
2.14750000,217.04058064,0.01520228
2.15950000,232.70965228,0.01579092
2.17150000,245.19002657,0.01621783
2.18350000,260.34168534,0.01664188
2.19550000,271.08703341,0.01682919
2.20750000,272.86141275,0.01701118
2.21950000,269.84703910,0.01704542
2.23150000,267.27918717,0.01694013
2.24350000,262.91632071,0.01678511
2.25550000,248.38194267,0.01651824
2.26750000,231.74724155,0.01626102
2.27950000,216.96091973,0.01603350
2.29150000,203.68485183,0.01584660
2.30350000,195.42515940,0.01582023
2.31550000,182.88470899,0.01581762
2.32750000,171.74274101,0.01591949
2.33950000,169.82899888,0.01614280
2.35150000,167.81862346,0.01621382
2.36350000,168.93055339,0.01635532
2.37550000,169.77416378,0.01659180
2.38750000,167.41964163,0.01677883
2.39950000,163.19144167,0.01695483
2.41150000,161.18247638,0.01710260
2.42350000,154.75315634,0.01735778
2.43550000,148.54369405,0.01753509
2.44750000,142.66319760,0.01775050
2.45950000,136.41774389,0.01791947
2.47150000,136.50084138,0.01809413
2.48350000,132.58722123,0.01834351
2.49550000,132.09311175,0.01861497
2.50750000,128.28758460,0.01888991
2.51950000,127.65798746,0.01908325
2.53150000,130.68501566,0.01939875
2.54350000,131.01412379,0.01955405
2.55550000,129.80710301,0.01987135
2.56750000,127.39719380,0.02027927
2.57950000,126.74218703,0.02050580
2.59150000,126.33276926,0.02069995
2.60350000,125.57317789,0.02102383
2.61550000,125.46569942,0.02107589
2.62750000,127.53083851,0.02125096
2.63950000,127.69104670,0.02136879
2.65150000,128.92155116,0.02145797
2.66350000,130.95831400,0.02146723
2.67550000,131.93141010,0.02158226
2.68750000,133.87882085,0.02159110
2.69950000,133.98521219,0.02166068
2.71150000,134.56402295,0.02171427
2.72350000,137.25937749,0.02170296
2.73550000,138.05847738,0.02151296
2.74750000,142.12604821,0.02162346
2.75950000,142.74046486,0.02168859
2.77150000,147.44668699,0.02179077
2.78350000,151.75997920,0.02197492
2.79550000,157.81803341,0.02196178
2.80750000,161.34686125,0.02191659
2.81950000,163.80831397,0.02201339
2.83150000,163.62709269,0.02197272
2.84350000,167.07925962,0.02188582
2.85550000,173.35318119,0.02172589
2.86750000,175.79186785,0.02169423
2.87950000,178.22460704,0.02168753
2.89150000,186.00356010,0.02154945
2.90350000,189.56036542,0.02145654
2.91550000,197.12128818,0.02132641
2.92750000,206.24386736,0.02121946
2.93950000,219.95940806,0.02128254
2.95150000,233.43860252,0.02134854
2.96350000,254.25481917,0.02164657
