Cosmic Time [Gyr],SFR [Msun/yr],Metallicity
0.13150000,0.00000000,0.00000010
0.14350000,0.00000000,0.00000010
0.15550000,0.00000000,0.00000010
0.16750000,0.00000000,0.00000010
0.17950000,0.00000000,0.00000010
0.19150000,0.00000000,0.00000010
0.20350000,0.00000000,0.00000010
0.21550000,0.00000000,0.00000010
0.22750000,0.00000000,0.00000010
0.23950000,0.00000000,0.00000010
0.25150000,0.00000000,0.00000010
0.26350000,0.00000000,0.00000010
0.27550000,0.00000000,0.00000010
0.28750000,0.00000000,0.00000010
0.29950000,0.00000000,0.00000010
0.31150000,0.00000000,0.00000010
0.32350000,0.00000000,0.00000010
0.33550000,0.00000000,0.00000010
0.34750000,0.04575910,0.00000010
0.35950000,0.22297119,0.00000010
0.37150000,0.51441014,0.00000336
0.38350000,0.96404767,0.00007015
0.39550000,1.41467173,0.00017193
0.40750000,1.96216850,0.00028104
0.41950000,2.63282138,0.00035872
0.43150000,3.26051335,0.00042459
0.44350000,3.88964150,0.00053010
0.45550000,4.27101390,0.00061077
0.46750000,4.62325982,0.00065953
0.47950000,4.84403161,0.00069795
0.49150000,4.93103110,0.00072047
0.50350000,4.79150788,0.00070089
0.51550000,4.50847232,0.00065885
0.52750000,4.52553448,0.00058235
0.53950000,4.56182717,0.00052702
0.55150000,4.65805916,0.00049432
0.56350000,4.85868567,0.00048331
0.57550000,5.25448012,0.00048750
0.58750000,6.11298145,0.00049037
0.59950000,7.25176433,0.00052572
0.61150000,8.41310283,0.00053184
0.62350000,9.01095893,0.00060533
0.63550000,9.36075216,0.00072952
0.64750000,9.88273393,0.00079792
0.65950000,10.40435879,0.00088767
0.67150000,10.42906954,0.00095856
0.68350000,10.33681018,0.00103567
0.69550000,10.40006795,0.00106179
0.70750000,10.15907915,0.00112005
0.71950000,10.55544580,0.00113613
0.73150000,10.57705968,0.00116604
0.74350000,10.71042305,0.00117418
0.75550000,10.75784563,0.00115546
0.76750000,12.06225035,0.00118844
0.77950000,13.74373769,0.00124329
0.79150000,15.93199893,0.00129790
0.80350000,17.88371687,0.00142353
0.81550000,19.04204387,0.00164030
0.82750000,21.81546700,0.00180072
0.83950000,23.92768641,0.00214540
0.85150000,26.11110334,0.00244718
0.86350000,28.15320040,0.00282212
0.87550000,30.42387331,0.00332068
0.88750000,32.12544810,0.00373079
0.89950000,33.85461978,0.00415984
0.91150000,36.02677594,0.00461275
0.92350000,35.58649577,0.00508508
0.93550000,37.10067955,0.00544004
0.94750000,38.43831288,0.00583827
0.95950000,41.34454579,0.00616976
0.97150000,45.45425900,0.00641699
0.98350000,50.34451503,0.00659612
0.99550000,53.68411641,0.00676124
1.00750000,57.85076567,0.00693721
1.01950000,62.64547390,0.00710019
1.03150000,66.33248777,0.00735664
1.04350000,70.13671800,0.00749337
1.05550000,74.73662602,0.00783428
1.06750000,77.22182749,0.00822295
1.07950000,79.76792083,0.00841851
1.09150000,82.13919355,0.00881284
1.10350000,84.43029160,0.00928209
1.11550000,85.59495214,0.00961450
1.12750000,88.60724847,0.00993514
1.13950000,90.22860143,0.01030897
1.15150000,93.10519021,0.01058660
1.16350000,94.41169181,0.01077980
1.17550000,98.65428702,0.01097592
1.18750000,101.61717345,0.01110973
1.19950000,107.23498549,0.01126889
1.21150000,113.02005045,0.01150094
1.22350000,116.74496232,0.01173073
1.23550000,122.32700820,0.01200888
1.24750000,126.75833255,0.01223701
1.25950000,131.74797822,0.01252098
1.27150000,137.12060351,0.01272686
1.28350000,142.06633333,0.01305427
1.29550000,147.22689058,0.01327634
1.30750000,153.57563693,0.01338188
1.31950000,158.83934901,0.01360006
1.33150000,165.36737370,0.01384772
1.34350000,167.51167630,0.01396986
1.35550000,171.57371940,0.01417362
1.36750000,173.85828021,0.01423993
1.37950000,176.81413752,0.01441744
1.39150000,180.92498530,0.01459154
1.40350000,185.06171019,0.01479991
1.41550000,186.24634317,0.01508529
1.42750000,192.23309848,0.01544796
1.43950000,192.49384533,0.01582858
1.45150000,193.85213819,0.01615977
1.46350000,194.81366307,0.01667910
1.47550000,196.80801660,0.01706397
1.48750000,198.62534521,0.01741952
1.49950000,202.24991810,0.01779952
1.51150000,204.97754958,0.01813188
1.52350000,210.32082635,0.01836595
1.53550000,211.40482755,0.01860829
1.54750000,210.83767379,0.01890106
1.55950000,215.92737693,0.01914393
1.57150000,220.71039953,0.01940079
1.58350000,222.99206609,0.01969863
1.59550000,227.34201390,0.01999996
1.60750000,231.35556699,0.02040403
1.61950000,231.75993660,0.02085418
1.63150000,235.04185396,0.02128003
1.64350000,237.12556512,0.02179496
1.65550000,239.57830598,0.02225200
1.66750000,242.75675487,0.02259770
1.67950000,243.14413065,0.02293002
1.69150000,248.57543105,0.02324072
1.70350000,257.65088633,0.02337724
1.71550000,264.51021082,0.02357332
1.72750000,268.64633453,0.02403966
1.73950000,274.60934779,0.02440772
1.75150000,276.33154538,0.02477003
1.76350000,277.25500010,0.02520611
1.77550000,275.42734901,0.02537888
1.78750000,273.17802779,0.02580385
1.79950000,270.22803896,0.02624559
1.81150000,261.07685899,0.02664749
1.82350000,253.51868698,0.02688753
1.83550000,246.77344861,0.02700407
1.84750000,238.97603721,0.02693214
1.85950000,230.90090655,0.02685186
1.87150000,228.83449309,0.02698311
1.88350000,232.08092622,0.02691745
1.89550000,230.76845486,0.02689825
1.90750000,230.35922134,0.02702683
1.91950000,229.82085566,0.02706398
1.93150000,231.45235343,0.02725884
1.94350000,226.09869687,0.02714605
1.95550000,222.03759324,0.02704834
1.96750000,222.53807198,0.02687471
1.97950000,217.74752211,0.02683556
1.99150000,218.82445167,0.02656148
2.00350000,219.25347961,0.02625365
2.01550000,214.76143236,0.02596163
2.02750000,214.12228385,0.02569436
2.03950000,206.67742897,0.02547491
2.05150000,207.74101802,0.02555972
2.06350000,213.08177801,0.02552370
2.07550000,213.99316133,0.02554514
2.08750000,214.43686170,0.02564575
2.09950000,213.58204431,0.02572654
2.11150000,217.42176851,0.02590753
2.12350000,217.80915587,0.02601761
2.13550000,215.34843099,0.02559380
2.14750000,216.85573348,0.02537661
2.15950000,221.87095250,0.02523290
2.17150000,221.49132167,0.02491932
2.18350000,225.08546997,0.02479311
2.19550000,225.89377695,0.02464701
2.20750000,223.15113328,0.02469757
2.21950000,219.35461073,0.02494074
2.23150000,217.72976179,0.02498097
2.24350000,218.02548165,0.02520025
2.25550000,214.55620927,0.02542665
2.26750000,208.40783132,0.02584008
2.27950000,209.76617023,0.02610240
2.29150000,209.93408760,0.02659329
2.30350000,214.51008023,0.02680663
2.31550000,210.98511492,0.02668912
2.32750000,207.58645714,0.02646226
2.33950000,209.94016757,0.02637215
2.35150000,207.39017602,0.02639460
2.36350000,209.09369976,0.02625025
2.37550000,208.89983154,0.02623474
2.38750000,208.40874640,0.02607632
2.39950000,207.59535525,0.02622940
2.41150000,208.36835311,0.02607216
2.42350000,206.36705115,0.02622995
2.43550000,204.01445609,0.02661573
2.44750000,198.89922362,0.02690200
2.45950000,193.08704679,0.02726634
2.47150000,197.35558013,0.02752027
2.48350000,192.81960785,0.02777096
2.49550000,195.48691844,0.02762991
2.50750000,192.95191368,0.02747457
2.51950000,197.57163018,0.02733485
2.53150000,203.91243479,0.02722273
2.54350000,203.05050614,0.02681336
2.55550000,206.05608897,0.02657973
2.56750000,206.50558865,0.02632239
2.57950000,212.40844221,0.02595342
2.59150000,217.36688573,0.02575342
2.60350000,220.35066242,0.02554968
2.61550000,220.77740355,0.02547862
2.62750000,220.59847377,0.02563237
2.63950000,218.08732072,0.02572932
2.65150000,215.78715804,0.02590154
2.66350000,215.84873842,0.02604425
2.67550000,213.96983649,0.02616346
2.68750000,215.09769555,0.02627202
2.69950000,209.46097150,0.02653309
2.71150000,206.93249164,0.02682362
2.72350000,201.38851143,0.02668984
2.73550000,197.88930849,0.02672347
2.74750000,198.26410698,0.02689547
2.75950000,193.43658072,0.02677686
2.77150000,196.47007575,0.02677244
2.78350000,199.20486915,0.02676507
2.79550000,203.66970319,0.02692844
2.80750000,202.91087060,0.02688734
2.81950000,203.44945990,0.02694240
2.83150000,200.74093932,0.02698125
2.84350000,197.72248980,0.02678700
2.85550000,198.99080334,0.02663605
2.86750000,195.73654936,0.02662286
2.87950000,191.58636162,0.02666264
2.89150000,189.47862692,0.02663542
2.90350000,189.26424890,0.02659587
2.91550000,190.58897633,0.02650778
2.92750000,194.31565793,0.02668175
2.93950000,196.78673008,0.02658871
2.95150000,200.12992005,0.02661272
2.96350000,210.96057229,0.02676587
